Date,FC,Reference ID,Fee Type,Notes,Store Order ID,GST Rate,Amount,GST,Total (incl. GST)
01/05/26 03:48:35,Twin Lakes (WI),334440175,Shipping,CR000468801523,517121,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:49:04,Twin Lakes (WI),334305109,Shipping,BTPA02760VI2V00,516903,0%,$ 6.41,$ 0,$ 6.41
01/05/26 03:49:33,Twin Lakes (WI),334443295,Shipping,9200190244541407201375,517127,0%,$ 6.43,$ 0,$ 6.43
01/05/26 03:50:04,Twin Lakes (WI),334460810,Shipping,CR000468803702,517128,0%,$ 5.97,$ 0,$ 5.97
01/05/26 03:50:06,Twin Lakes (WI),334311444,Shipping,CR000468803413,516914,0%,$ 6.13,$ 0,$ 6.13
01/05/26 03:50:41,Twin Lakes (WI),334346260,Shipping,CR000468800869,516974,0%,$ 6.13,$ 0,$ 6.13
01/05/26 03:50:44,Twin Lakes (WI),334445099,Shipping,9234690244541402356706,517130,0%,$ 22.65,$ 0,$ 22.65
01/05/26 03:51:28,Twin Lakes (WI),334352603,Shipping,D10017038853776,516985,0%,$ 6.69,$ 0,$ 6.69
01/05/26 03:51:59,Twin Lakes (WI),334304753,Shipping,9261290318421409731570,516901,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:52:00,Twin Lakes (WI),334376159,Shipping,CR000468805630,517021,0%,$ 7.05,$ 0,$ 7.05
01/05/26 03:52:05,Twin Lakes (WI),334472274,Shipping,CR000468805444,517141,0%,$ 6.37,$ 0,$ 6.37
01/05/26 03:52:19,Twin Lakes (WI),334349735,Shipping,CR000468805390,516981,0%,$ 6.01,$ 0,$ 6.01
01/05/26 03:52:41,Twin Lakes (WI),334371682,Shipping,CR000468805597,517027,0%,$ 6.94,$ 0,$ 6.94
01/05/26 03:52:59,Twin Lakes (WI),334400805,Shipping,9261290318421409731587,517065,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:53:33,Twin Lakes (WI),334372168,Shipping,BTPA02760JQ5927,517028,0%,$ 6.22,$ 0,$ 6.22
01/05/26 03:53:38,Twin Lakes (WI),334510669,Shipping,9200190244541407202433,517152,0%,$ 11.32,$ 0,$ 11.32
01/05/26 03:54:24,Twin Lakes (WI),334415432,Shipping,CR000468808571,517075,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:54:45,Twin Lakes (WI),334394118,Shipping,f07ffca1dc8361ffe,517050,0%,$ 6.15,$ 0,$ 6.15
01/05/26 03:55:35,Twin Lakes (WI),334398918,Shipping,BTPA02760EGWTH2,517059,0%,$ 6.41,$ 0,$ 6.41
01/05/26 03:55:41,Twin Lakes (WI),334504894,Shipping,9200190244541407202822,517148,0%,$ 8.68,$ 0,$ 8.68
01/05/26 03:56:31,Riverside (CA),334301518,Shipping,397431057950,113280,0%,$ 17.64,$ 0,$ 17.64
01/05/26 03:56:45,Twin Lakes (WI),334322351,Shipping,D10017038873071,516934,0%,$ 6.69,$ 0,$ 6.69
01/05/26 03:56:59,Twin Lakes (WI),334513218,Shipping,D10017038874798,517154,0%,$ 7.44,$ 0,$ 7.44
01/05/26 03:57:09,Riverside (CA),334416736,Shipping,397431110391,113302,0%,$ 17.61,$ 0,$ 17.61
01/05/26 03:57:45,Twin Lakes (WI),334375414,Shipping,CR000468849850,517035,0%,$ 7.86,$ 0,$ 7.86
01/05/26 03:57:52,Twin Lakes (WI),334324017,Shipping,TBA327605470666,516938,0%,$ 6.3,$ 0,$ 6.3
01/05/26 03:58:44,Twin Lakes (WI),334356101,Shipping,TBA327605492100,516980,0%,$ 6.32,$ 0,$ 6.32
01/05/26 03:59:39,Twin Lakes (WI),334383676,Shipping,D10017038884044,517040,0%,$ 7.51,$ 0,$ 7.51
01/05/26 04:01:15,Twin Lakes (WI),334323250,Shipping,TBA327605545321,516937,0%,$ 6.41,$ 0,$ 6.41
01/05/26 04:01:32,Twin Lakes (WI),334380671,Shipping,CR000468850645,517039,0%,$ 6.07,$ 0,$ 6.07
01/05/26 04:02:08,Twin Lakes (WI),334400779,Shipping,TBA327605562277,517049,0%,$ 5.99,$ 0,$ 5.99
01/05/26 04:02:43,Twin Lakes (WI),334345535,Shipping,CR000468858457,516973,0%,$ 6.37,$ 0,$ 6.37
